Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
1982-47-4	Chloroxuron	CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1	0.1044	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	N-Substituted Aromatic Amines	 	 	 	In domain	20.00%	0.00%	80.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1044	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
2921-88-2	Chlorpyrifos	CCOP(=S)(OCC)Oc1c(Cl)cc(Cl)c(Cl)n1	0.3627	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	In domain	15.38%	0.00%	84.62%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	0.3627	in vivo Liver Clastogen positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	Out of Domain
64902-72-3	Chlorsulfuron	Cc1nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)nc(OC)n1	0.2918	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Arenesulphonamides	 	 	 	In domain	7.69%	0.00%	92.31%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2918	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
15545-48-9	Chlortoluron	Cc1ccc(NC(=O)N(C)C)cc1Cl	0.1118	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	N-Substituted Aromatic Amines	 	 	 	In domain	22.22%	0.00%	77.78%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1118	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
57-88-5	Cholesterol	CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	0.3075	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	78.57%	0.00%	21.43%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.3075	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
81-25-4	Cholic acid	CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	0.2755	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	75.86%	3.45%	20.69%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2755	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
7440-47-3	Chromium (Cr) - dissolved	[Cr]																													
7440-47-3	Chromium (Cr) - total	[Cr]_[Cr]																													
218-01-9	Chrysene	c1cccc2ccc3c4ccccc4ccc3c12	0.1124	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	0.1124	in vivo Liver Clastogen positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of Domain
85721-33-1	Ciprofloxacin	OC(=O)C1=CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1=O	0.4016	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinolone Derivatives,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	In domain	10.53%	0.00%	89.47%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinolone Derivatives,alpha,beta-Unsaturated Carbonyls and Related Compounds,Substituted Phenols"	Undetermined (0 <n< 10)	 	0.4016	in vivo Liver Clastogen positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Quinolone Derivatives,alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
59729-33-8	Citalopram	CN(C)CCCC1(c2ccc(F)cc2)c2ccc(C#N)cc2CO1	0.1414	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	42.86%	7.14%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1414	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
5392-40-5	Citral (Citral A=Geranial + Citral B=Neral)	CC(C)=CCCC(C)=CC=O	0.2099	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Alfa,Beta-Unsaturated Aldehydes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	0.2099	in vivo Liver Clastogen negative	 	"Alfa,Beta-Unsaturated Aldehydes,alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	Out of Domain
106-23-0	Citronellal	CC(CCC=C(C)C)CC=O	0.8065	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	27.27%	0.00%	72.73%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.8065	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
81103-11-9	Clarithromycin	CCC1C(C)(O)C(O)C(C)C(=O)C(C)CC(C)(OC)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(=O)O1	0.1772	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	Out of domain	65.38%	1.92%	32.69%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1772	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
37148-27-9	Clenbuterol	CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 1. Single Ring Aromatic Amines	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	"Single-ring Substituted Primary Aromatic Amines,Substituted Anilines"	 	Belongs to deacivated path	* 1. Single Ring Aromatic Amines	Out of Domain
22316-47-8	Clobazam	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc12	0.1825	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	63.64%	0.00%	36.36%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1825	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
882-09-7	Clofibric acid	CC(C)(C(O)=O)Oc1ccc(Cl)cc1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	77.78%	0.00%	22.22%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
81777-89-1	Clomazone	CC1(C)CON(Cc2ccccc2Cl)C1=O	0.2955	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	18.18%	0.00%	81.82%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2955	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
1622-61-3	Clonazepam	O=C1CN=C(c2ccccc2Cl)c2cc(N(=O)=O)ccc2N1	0.4394	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interaction with DNA 	Fused-Ring Nitroaromatics	Undetermined (0 <n< 10)	Belongs to deacivated path	53. Carboxylic acid amines	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Fused-Ring Nitroaromatics	Undetermined (0 <n< 10)	 	0.4394	in vivo Liver Clastogen positive	Interaction with DNA 	Fused-Ring Nitroaromatics	Undetermined (0 <n< 10)	 	 	Out of Domain
23593-75-1	Clotrimazol	Clc1ccccc1C(c1ccccc1)(c1ccccc1)N1C=CN=C1	0.3778	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.3778	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
7440-48-4	Cobalt (Co) - total	[Co]																													
*-23-2	Conductivity	 																													
7440-50-8	Copper (Cu) - dissolved	[Cu]																													
7440-50-8	Copper (Cu) - total	[Cu]_[Cu]																													
360-68-9	Coprostanol	CC(C)CCCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	0.3959	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	92.86%	0.00%	7.14%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.3959	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
191-07-1	Coronene	c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61	0	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	0	in vivo Liver Clastogen positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
53-06-5	Cortisone	CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	0.2097	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	Belongs to deacivated path	29. Unsaturated Compounds	In domain	84.62%	0.00%	15.38%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2097	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
486-56-6	Cotinine	CN1C(c2cccnc2)CCC1=O	0.2419	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2419	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
60-27-5	Creatinine	CN1CC(=O)N=C1N	0.1796	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	12.50%	0.00%	87.50%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.1796	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
483-63-6	Crotamiton	CCN(c1ccccc1C)C(=O)C=CC	0.4765	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	In domain	20.00%	0.00%	80.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.4765	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
28159-98-0	Cybutryne	CC(C)(C)Nc1nc(NC2CC2)nc(SC)n1	0.0322	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	25.00%	8.33%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0322	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
100-88-9	Cyclamate (as N-Cyclohexylsulfamic acid)	OS(=O)(=O)NC1CCCCC1	0.1905	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	45.45%	0.00%	54.55%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1905	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
27208-37-3	"Cyclopenta(c,d)pyrene (CPP)"	C1=Cc2ccc3ccc4cccc5cc1c2c3c45	0.1651	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1651	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
50-18-0	Cyclophosphamide	O=P1(N(CCCl)CCCl)NCCCO1	0.069	in vivo Liver Clastogen positive	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Nitrogen Mustards	Undetermined (0 <n< 10)	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA  &Interactions with topoisomerases / proteins	"Nitrogen and Sulfur Mustards,Nitrogen Mustards"	Undetermined (0 <n< 10)	 	0.069	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Nitrogen Mustards	Undetermined (0 <n< 10)	 	 	In domain
52315-07-8	Cypermethrin	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	0.2389	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Haloalkenes with Electron-Withdrawing Groups 	 	 	 	In domain	27.78%	5.56%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Cyanohydrins	Undetermined (0 <n< 10)	 	0.2389	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Cyanohydrins	Undetermined (0 <n< 10)	 	 	Out of Domain
65854-78-6	D5-Oxazepam	H{LBL2}c1c(H{LBL2})c(H{LBL2})c(H{LBL2})c(H{LBL2})c1C1c2cc(Cl)ccc2NC(=O)C(O)N=1	0.3333	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Carboxylic Acid Amides	 	 	 	In domain	20.00%	0.00%	80.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Heterocyclic Aromatic Amines	Undetermined (0 <n< 10)	 	0.3333	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Heterocyclic Aromatic Amines	Undetermined (0 <n< 10)	 	 	Out of Domain
486-66-8	Daidzein	Oc1ccc(C2=COc3cc(O)ccc3C2=O)cc1	0.6981	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	In domain	11.11%	0.00%	88.89%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.6981	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	Belongs to deacivated path	26. Phenolic Derivatives	Out of Domain
08-02-27	"DCPU (3,4-Dichlorophenylurea)"	NC(=O)Nc1ccc(Cl)c(Cl)c1	N/A	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	14.29%	0.00%	85.71%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
134-62-3	"DEET (N,N-Diethyl-m-toluamid)"	CCN(CC)C(=O)c1cccc(C)c1	0.1651	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	44.44%	0.00%	55.56%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1651	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
319-86-8	delta-Hexachlorocyclohexane (delta-HCH)	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	0.5329	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Vicinal Dihaloalkanes,Halogenated Vicinal Hydrocarbons"	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Vicinal Dihaloalkanes,alpha-Activated Haloalkanes"	 	 	0.5329	in vivo Liver Clastogen negative	 	"Vicinal Dihaloalkanes,Halogenated Vicinal Hydrocarbons"	 	 	 	Out of Domain
52918-63-5	Deltamethrin	CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	0.2389	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Haloalkenes with Electron-Withdrawing Groups 	Undetermined (0 <n< 10)	 	 	In domain	27.78%	5.56%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Haloalkenes with Electron-Withdrawing Groups 	Undetermined (0 <n< 10)	 	0.2389	in vivo Liver Clastogen positive	Interaction with DNA 	Haloalkenes with Electron-Withdrawing Groups 	Undetermined (0 <n< 10)	 	 	Out of Domain
6190-65-4	Desethylatrazine	CC(C)Nc1nc(N)nc(Cl)n1	0.1109	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	28.57%	42.86%	28.57%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1109	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
30125-63-4	Desethylterbutylazine	CC(C)(C)Nc1nc(N)nc(Cl)n1	0.5	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	37.50%	12.50%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.5	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
1007-28-9	Desisopropylatrazine	CCNc1nc(N)nc(Cl)n1	0.3281	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	16.67%	50.00%	33.33%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.3281	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
50-02-2	Dexamethasone	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	0.4309	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	Belongs to deacivated path	29. Unsaturated Compounds;34. Unsaturated Compounds	In domain	57.14%	3.57%	39.29%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.4309	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
117-81-7	Di(2-ethylhexyl)phthalate (DEHP)	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	0.1737	in vivo Liver Clastogen negative	in vivo Liver Clastogen negative	in vitro CA negative	 	Arenecarboxylic Acid Esters	 	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1737	in vivo Liver Clastogen negative	 	Arenecarboxylic Acid Esters	 	 	 	In domain
439-14-5	Diazepam	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc12	0.0592	in vivo Liver Clastogen positive	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.0592	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	In domain
333-41-5	Diazinone	CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1	0.2055	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	In domain	28.57%	0.00%	71.43%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	0.2055	in vivo Liver Clastogen positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	Out of Domain
